2016-01: Spent 49294.71 INR, received 49218.90 INR.
2016-02: Spent 23658.86 INR, received 24727.49 INR.
2016-03: Spent 38050.00 INR, received 59506.11 INR.
2016-04: Spent 48600.00 INR, received 57446.94 INR.
2016-05: Spent 57697.01 INR, received 72805.14 INR.
2016-06: Spent 9279.00 INR, received 78246.26 INR.
2016-07: Spent 38834.00 INR, received 66825.56 INR.
2016-08: Spent 57984.73 INR, received 57119.01 INR.
2016-09: Spent 50636.00 INR, received 84955.99 INR.
2016-10: Spent 4500.00 INR, received 29599.88 INR.
2018-06: Spent 11445.00 INR, received 52941.14 INR.
2018-07: Spent 40414.00 INR, received 100551.98 INR.
2018-08: Spent 0.00 INR, received 40325.30 INR.
2018-09: Spent 15802.00 INR, received 59523.37 INR.
2018-10: Spent 10060.00 INR, received 40057.00 INR.
