month,income,expenses,net_cash_flow,status
2016-01,98014.9,99012.32,-997.42,Negative
2016-02,48814.9,47957.8,857.1,Positive
2016-03,95837.8,97674.42,-1836.62,Negative
2016-04,109772.9,102320.98,7451.92,Positive
2016-05,131058.38,129945.92,1112.46,Positive
2016-06,86638.0,88412.52,-1774.52,Negative
2016-07,104244.0,107075.12,-2831.12,Negative
2016-08,114015.0,116192.48,-2177.48,Negative
2016-09,135492.0,135691.98,-199.98,Negative
2016-10,52103.0,16096.76,36006.24,Positive
2018-06,61055.01,74632.28,-13577.27,Negative
2018-07,142116.0,139815.96,2300.04,Positive
2018-08,37928.0,42722.6,-4794.6,Negative
2018-09,64380.78,86269.96,-21889.18,Negative
2018-10,58216.0,42018.0,16198.0,Positive
